first_competitor,second_competitor,category_id,match_id,winner,description
1500396,1501124,10341970,42484484,1500396,Runda 3
"",1500037,57943848,42489534,"",Runda 5
2000194,2000013,64497943,42493475,2000194,Runda 5
1700092,1700155,93526141,42493804,1700155,Runda 4
1600247,1600280,96346334,42495721,1600247,1/4 F
1600087,1700303,32323784,42495846,1600087,Runda 2
1600563,1800092,30634744,42497011,1600563,Runda 2
1600248,1800239,89562112,42499051,1600248,Runda 3
1700129,1700094,19973218,42499197,1700094,Runda 5
1600351,1500874,93410434,42503653,1500874,Repasaż 1
1500468,1500618,68094775,42511862,1500468,Finał I-II
1500208,1800011,39724785,42515653,1500208,Runda 2
1600125,1500410,99653978,42515840,1500410,Runda 2
1600531,1600340,80104603,42518306,1600531,Runda 5
1600335,1600615,39716829,42523954,1600615,Runda 3
"",1500784,4489413,42525867,1500784,Eliminacje
1500861,1700522,30134491,42536161,1500861,Runda 3
1900281,1900245,98038912,42538207,1900245,Runda 5
1500491,1500518,55099075,42540790,1500518,Runda 1
1700256,1600409,67842085,42545679,1600409,Runda 1
1700001,1501107,72280442,42546680,1700001,Runda 2
1700355,1700029,79893187,42547060,1700029,Runda 1
1500342,1500267,68716997,42550748,1500267,Eliminacje
1500383,1600297,29768517,42558421,1500383,Runda 1
1500006,1500215,78242541,42558471,1500006,Runda 4
1800231,1900060,68680325,42563202,1900060,Runda 3
1700010,1700001,54301027,42566859,1700010,Runda 2
1500094,1500104,27128001,42568023,1500094,Runda 1
1500268,1500216,27143256,42568787,1500268,Finał III-V
1500331,1500653,20855512,42571046,1500331,Runda 3
1500533,1700071,81319862,42571353,1500533,Runda 2
1500446,1500872,31389450,42571798,1500446,1/8 F
1501040,1500684,22750365,42580577,1500684,Repasaż 2
1700404,1700538,68129188,42586900,1700404,Finał I-II
1600344,1501124,11629629,42587011,1501124,Runda 3
1800364,1500449,42738325,42591784,1500449,1/2 F
1700353,1700131,55894740,42592654,1700353,Runda 2
2000014,2100211,25862419,42596282,2000014,Runda 2
1600412,1500671,98675396,42601020,1500671,Eliminacje
1600372,1501188,62814081,42607515,1501188,Finał I-II
"",1500007,21934403,42610536,1500007,1/8 F
1500798,1600352,55599796,42611133,1500798,Runda 1
1700306,1700146,69694686,42617357,1700146,1/4 F
1500408,1500401,11572157,42617579,1500408,Runda 3
1800354,1700526,70650503,42619479,1800354,Runda 1
1900376,2000108,30309058,42621250,1900376,Runda 2
1600431,1800371,14994860,42637929,1600431,1/2 F
1700015,1800008,83281017,42642414,1700015,Eliminacje
1500094,1500835,77470303,42643293,1500835,Runda 5
1500326,1500769,83670148,42647235,1500326,1/2 F
1900259,1900105,13818745,42650051,1900105,Finał I-II
1600514,1500419,50184315,42650221,1500419,Repasaż 1
2000343,1700166,70897006,42653183,1700166,Eliminacje
1700040,1900308,76029044,42656913,1900308,1/2 F
1900405,1900404,53919150,42660952,1900405,Runda 3
1500286,1500274,69758887,42671137,1500286,Runda 3
1500335,1700138,81810135,42671272,1500335,Runda 2
1500018,1500228,95924220,42676034,1500228,Runda 2
1600267,1600269,30375024,42681201,1600269,Runda 2
1501172,1500137,48205099,42687652,1500137,Runda 4
1900333,1900306,67167561,42691253,1900306,Runda 3
1700185,1700244,44543891,42706295,1700244,Runda 2
1500383,1700114,94034732,42715312,1700114,Runda 2
1500814,1500146,78172944,42718846,1500814,Runda 2
1500549,1500397,73487702,42720259,1500397,Runda 4
1500299,1500927,56194668,42731259,1500927,Repasaż 1
1500789,1500660,18266294,42735514,1500660,Runda 2
2000077,1600249,75117489,42743785,2000077,Runda 3
1500587,1500406,80658482,42744953,1500587,Eliminacje
1501024,1600579,35601707,42756162,1600579,Runda 3
1700166,1700209,38900452,42757044,1700166,1/8 F
1700529,1800257,39039624,42757942,1700529,Runda 3
1700303,1700196,25657533,42764319,1700196,1/2 F
1501025,1501160,66865159,42788966,1501160,Eliminacje
2000157,1600088,63215560,42789668,1600088,Runda 2
1600134,2000150,92192957,42790433,1600134,1/8 F
1500048,1500376,21946559,42796098,1500376,Runda 1
1600507,1500648,15331448,42802834,1500648,Runda 2
1800244,1800415,95925989,42803043,1800415,Runda 4
1900241,2100076,42285000,42804281,2100076,Eliminacje
"","",57343099,42808095,"",1/8 F
1500635,1500328,70593741,42821243,1500328,Runda 3
1600267,1500391,26633444,42824940,1500391,Runda 2
1500375,1500003,55777869,42826234,1500375,Runda 2
1500656,1500799,2050520,42828184,1500799,Runda 2
1900153,1900263,28218812,42833482,1900153,Runda 2
1500018,1500820,95544472,42841967,1500820,Repasaż 1
1500443,1501022,86679248,42852003,1500443,1/2 F
2000105,2000108,57525529,42856304,2000108,1/2 F
1700376,2000156,54298445,42859198,1700376,Runda 5
1500094,1600017,69565677,42863351,1600017,Repasaż 1
1700494,1700533,84656324,42866757,1700533,Runda 3
1500198,1500446,75770301,42875258,1500198,Runda 2
1500423,1500950,75389245,42876210,1500423,Runda 1
1900364,2000101,51148870,42876822,2000101,Runda 5
1500118,1500037,2800042,42877559,1500037,Runda 1
1800364,1500163,3109541,42879715,1800364,Runda 2
