first_competitor,second_competitor,category_id,winner,match_id
1900384,2000105,70083850,2000105,1096852
1900021,1900382,23655601,1900382,1118723
1800098,1900319,24653464,1900319,1130176
1900311,1700167,24653464,1700167,1131729
1600604,1500845,98242958,1500845,1152558
1500662,1600226,94145454,1600226,1161979
1500447,1500336,16191362,1500336,1162998
1600507,1500648,16191362,1500648,1171306
1500410,1500383,37376827,1500410,1186952
1700353,1900003,53453606,1900003,1198505
1600249,1500383,66137940,1500383,1209647
1500426,1700114,36008564,1500426,1241938
2000032,1800351,28586144,2000032,1250158
1900307,1800096,81687208,1900307,1250320
1500612,1501184,66137940,1500612,1276941
1500449,1800364,58447675,1800364,1286106
2000031,2100104,35731376,2000031,1289482
1500379,1500311,93340099,1500379,1290688
1600248,1700353,98242958,1600248,1291325
1900042,1700538,29177332,1900042,1293064
1900041,1900385,94113634,1900385,1352973
2100277,1900251,70083850,1900251,1365927
1700385,1700127,92303021,1700385,1374891
1800062,1700353,63722814,1800062,1399868
1700085,1600613,38479101,1700085,1424921
1800366,2000038,51404974,1800366,1429066
2000023,1900383,51404974,1900383,1447784
1800019,1900102,38479101,1800019,1465996
1500426,1500381,85423143,1500426,1472116
1500112,1500163,80466941,1500112,1473329
2000346,2000108,70083850,2000346,1519846
1600465,1700141,63722814,1700141,1535841
1500217,1500955,83576777,1500217,1564928
2000038,2000105,51404974,2000038,1583423
1900409,1500335,93340099,1900409,1597268
2100246,2000316,51404974,2000316,1598263
1600264,1700026,3837516,1600264,1610038
1900036,1900323,69254490,1900036,1623818
2000107,1800418,81687208,1800418,1625306
1900145,1800322,94394146,1800322,1635479
1500382,1500383,12095412,1500383,1645803
1900104,1800112,92303021,1900104,1655334
1900104,1900067,94394146,1900104,1671174
1700453,1700479,61075387,1700453,1688718
2000046,2000018,83384433,2000046,1707851
1800208,1700297,20625435,1800208,1745839
1500569,1600531,7798184,1600531,1754786
2100205,1900196,3585411,2100205,1777967
1500216,1500214,44883895,1500216,1810143
1700127,1900042,92303021,1900042,1858371
1900353,1800104,52483288,1800104,1913501
1500410,1700117,3837516,1500410,1921712
1800232,1600502,35731376,1600502,1924586
1700538,1700061,82473321,1700538,1931888
1500682,1600267,32773529,1500682,1932388
1500423,2000021,87593816,1500423,1940643
1800365,1800371,1605247,1800371,1956168
1600531,1500158,66740516,1600531,1959269
1800047,2100256,63388575,2100256,1964382
1800019,1700167,53453606,1700167,1964687
1500335,1500587,3837516,1500587,1970795
1500426,1500612,44647410,1500426,1975998
1600486,1600329,32058656,1600329,2003719
1900003,1500142,92798146,1900003,2007662
1500375,1500003,95276352,1500003,2013537
1900311,2000004,52483288,1900311,2052991
1900402,1900021,73673141,1900402,2059934
1600094,1600604,73048877,1600604,2060883
1500215,1500336,24280048,1500215,2175880
1900294,1500335,47337021,1500335,2196639
2000101,1500382,17626627,1500382,2201559
1800312,1600331,41150228,1600331,2204705
1700297,1900041,12541500,1700297,2210147
1900371,2100199,94394146,1900371,2220072
1700395,1700531,12541500,1700395,2225772
1600247,1600268,92798146,1600247,2237562
1500426,1500612,47337021,1500426,2262690
1900309,1900102,24653464,1900309,2269403
1600604,1800062,63722814,1600604,2282780
2000008,1900379,70083850,2000008,2297902
1700071,1700530,79901281,1700071,2312643
1900069,1800411,63388575,1800411,2315208
1900405,1900020,23655601,1900020,2320819
2000192,1800312,48884355,2000192,2343446
2000099,1800366,70083850,1800366,2344836
1600083,1500239,37540814,1500239,2458864
1700114,1500612,66137940,1700114,2465020
1600248,1600604,73048877,1600604,2468171
1500326,1500586,87593816,1500586,2484353
1500214,1800017,26060937,1500214,2496890
1500381,1500426,20510342,1500426,2497944
1600531,1800415,7798184,1600531,2511638
1700538,1700177,67704249,1700177,2515197
2000337,1900384,94410639,1900384,2544501
1700023,1500949,93340099,1500949,2545765
1900060,1900233,28586144,1900060,2585232
1900102,1700224,38479101,1700224,2638403
2100182,2100215,73673141,2100182,2672685
1800062,2000032,63722814,1800062,2675962
2100256,2000079,63388575,2100256,2677711
1700024,1700027,12541500,1700024,2680560
2100222,1700166,41150228,2100222,2681209
1800351,1800018,82473321,1800351,2701920
1500662,1700141,73048877,1500662,2707052
1700167,1900311,81687208,1900311,2715587
1800154,1500335,47337021,1800154,2721584
1800226,1700530,65548502,1700530,2731308
2000021,1600502,35731376,2000021,2739482
1800312,2000037,41150228,2000037,2742124
1500635,1800062,98242958,1800062,2775059
1800154,1500426,20510342,1500426,2787326
1600134,1600115,1605247,1600134,2795896
1700256,1600247,92798146,1600247,2799288
1501188,1700024,1605247,1501188,2810156
1800244,2000033,7798184,2000033,2813970
1700487,1900041,20625435,1700487,2828145
2000078,1500003,95276352,1500003,2837495
2000034,1900379,70083850,1900379,2860759
1800415,1600226,94145454,1600226,2868308
1500158,1800415,66740516,1800415,2874947
1700117,1600264,3837516,1700117,2881038
1500950,1500268,53784671,1500268,2892680
1500239,1500216,93340099,1500239,2903321
1600375,1500381,47337021,1500381,2934009
1600502,1600428,35731376,1600428,2945450
1500006,1700114,24280048,1500006,2960162
1900321,2000037,94113634,2000037,3028627
1800207,1501195,63388575,1501195,3030920
